date,location,event,participants_on_record,source_urls,notes
1992-07-01,Palm Beach FL (Mar-a-Lago),Private club party captured on NBC archival video,Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Video shows presence only; no allegations made.
1992-11-15,Palm Beach FL,Additional NBC archive reporting on 1992 Mar-a-Lago party footage,NBC News (archival); Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Secondary anchor noting presence on tape; corroborative reference.
1998-04-01,Little St. James USVI,Acquisition of Little St. James island,Jeffrey Epstein (via L.S.J. LLC),"https://en.wikipedia.org/wiki/Little_Saint_James,_U.S._Virgin_Islands",Ownership anchor; real-estate records referenced across reputable sources.
1998-10-01,New York NY,Press mentions of Epstein philanthropic donations via media profiles (late 1990s),Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Contextual media profile; presence as subject of reporting.
1999-02-01,New York NY,Society-page coverage of Epstein in NYC social circuit (1999),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Public-profile article used as context anchor.
2000-09-01,New York NY,Public references to private jet travel and social calendar (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,General travel/social context; no passenger lists here.
2002-02-09,New York NY,New York Magazine item mentions of Epstein in elite circles (2002),Jeffrey Epstein (subject),https://nymag.com/nymetro/news/people/n_7912/,Public-profile context anchor.
2003-03-01,New York NY,Vanity Fair profile publication,Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Magazine profile anchor (publication date).
2005-01-21,Palm Beach FL,Deposition excerpt (later produced) confirms travel to USVI and gifts for 'guests',Household staff witness,(uploaded doc),From unsealed civil bundle; staff describes purchasing clothing gifts and travel patterns.
2005-03-01,Palm Beach FL,PBPD opens investigation (triggered by complaint),Palm Beach Police Department; Det. Joseph Recarey,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation start anchor.
2005-07-25,Palm Beach FL,Search warrants and affidavits reported in media coverage of PBPD probe,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Media summary of warrant activity; used as timeline color.
2006-01-01,Phoenix/Scottsdale AZ,Founding of nonprofit Everyday Heroes Like You (EHLY); later IRS 501(c)(3),Erika Frantzve (Kirk); EHLY,https://projects.propublica.org/nonprofits/organizations/263416850;https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,ProPublica lists EIN 26-3416850; interview describes founding year range.
